From,Amount,
0x3030c1A3deFCE04DAc46Ed4883A0C3212cCb6C34,791200,
0x8d468F73fd7685e2210C93f64CE9F9Ba92f450d0,73600,
0xAc4bfCD893230a82F9f905F92457378b52a1D706,73600,
0xD3fcc3d1089C4CA25eC4B1cFd0157EF06e41278a,73600,
0x9331d6382E91B8775463B802023299f968338729,406000,
0x97E46fA70f526976507B9fA44f0BF3839fE1c2d8,239800,
0x5f220aF537876200e780692ae7Db3Bf87B3186F6,166200,
0x634A8C08e31F2dCDE64DC185F0f9aF3842fb6468,73600,
0x3E2C02D60d42c62781B20e3ab32e086EFCD9520D,92600,
0x8937A2242bf7Eb7eA6aa6D44BCC86cb1448E6b0c,73600,
0x9a58FDe73E66b9f1979789f0AA3c71b2c6880fc3,73600,
0x767a5134793Abc937E6d2b352B664BB453482FeB,147200,
0x6D25Af1aB00b2c4f52f741F26f65360FEF5B8f23,719600,
0xfc8Ce3C6cE01AD0a495F4fec8E6574ABa96F0D6e,681800,
0xAFD243321A4985983cD6DeE7194db544E44CC862,681800,
0x5Ab700eec7be9108d80Fe04C34e6eAfbBB235fc6,220800,
0xf7765217643e186167fe323A5d56968218078179,665000,
0xBedcf2c28Ff42F7ddc47F531Bb2F4A5136a26269,463000,
0xB6b75015DD0902da5898242D5D212854bE555CEF,349200,
0xb1a1938001165621D161aE606AD3530a80ACc899,73600,
0x98c4565fF07FB5288679969034bf45a36E211516,73600,
0xA705b8BF4dc7fEa950b717a3b486E864d8511b51,2581400,
0xC2187B8f51c6491aB267b3fA25fB8D90F54348f6,73600,
0x9BdB53533B8b2c7F2368C7cE0819faE9Cb9b3731,92600,
0x815e2f4d857a482BA7aDbE4a68A259eFfeFa21AC,73600,
0x653D5a8B88176a5f1Fde26B33E5844b0F6943a7a,92600,
0x16D923fb0dBC51982a27DcC63f2D99Fda8848830,202000,
0xcedF8C38a4A6fB98A4ee17b7CB482676eA9f7602,1125600,
0x8eC8d432cECC8ed31C870F1fe700997844686dAC,73600,
0xF9681Ae3cBA864191744230384c13f9f73Ce7944,73600,
0xF906B3130348Ea051bC5ff7D9ac3e9c6d4753815,92600,
0x57a53D4A560B98A2830D3Ff83D94a0F56b5FbbE9,73600,
0x057A157bf7Bd01Acdb4cbC7935F14E69A819A999,681800,
0x9e059B4Cda841fD8D6d3996AA0a9f9C97F68BFeb,73600,
0xD90e968e3Ad84dC167967f55Ab5E593f15138275,73600,
0x9E8eCC618a29fba16EfF70a84e706D77197B9a8e,572400,
0x66f0081D4339FC897b22388fa4eBD90f1D7C0FE1,73600,
0x40eB1A4d5ABDd052CFAFFA648356D55E002F57d4,368200,
